Country,Freedom_of_association_C087,Freedom_of_association_C098,Forced_labour_C029,Forced_labour_P029,Forced_labour_C105,Discrimination_C100,Discrimination_C111,Child_labour_C138,Child_labour_C182,Occupational_safety_and_health_C155,Occupational_safety_and_health_C187
Afghanistan,,,,,1963,1969,1969,2010,2010,,
Albania,1957,1957,1957,,1997,1957,1997,1998,2001,2004,2014
Algeria,1962,1962,1962,,1969,1962,1969,1984,2001,2006,
Angola,2001,1976,1976,,1976,1976,1976,2001,2001,2025,2025
Antigua and Barbuda,1983,1983,1983,2021,1983,2003,1983,1983,2002,2002,2021
Argentina,1960,1956,1950,2016,1960,1956,1968,1996,2001,2014,2014
Armenia,2006,2003,2004,,2004,1994,1994,2006,2006,,
Australia,1973,1973,1932,2022,1960,1974,1973,2023,2006,2004,2024
Austria,1950,1951,1960,2019,1958,1953,1973,2000,2001,,2011
Azerbaijan,1992,1992,1992,,2000,1992,1992,1992,2004,2023,2026
Bahamas,2001,1976,1976,,1976,2001,2001,2001,2001,2026,2026
Bahrain,,,1981,,1998,,2000,2012,2001,2009,
Bangladesh,1972,1972,1972,2022,1972,1998,1972,2022,2001,2025,2025
Barbados,1967,1967,1967,,1967,1974,1974,2000,2000,2025,2025
Belarus,1956,1956,1956,,1995,1956,1961,1979,2000,2000,
Belgium,1951,1953,1944,2019,1961,1952,1977,1988,2002,2011,2018
Belize,1983,1983,1983,,1983,1999,1999,2000,2000,1999,
Benin,1960,1968,1960,,1961,1968,1961,2001,2001,,
Bolivia (Plurinational State of),1965,1973,2005,,1990,1973,1977,1997,2003,,
Bosnia and Herzegovina,1993,1993,1993,2018,2000,1993,1993,1993,2001,1993,2010
Botswana,1997,1997,1997,,1997,1997,1997,1997,2000,,
Brazil,,1952,1957,2025,1965,1957,1965,2001,2000,1992,
Brunei Darussalam,,,2023,,,2025,,2011,2008,,2024
Bulgaria,1959,1959,1932,,1999,1955,1960,1980,2000,2024,2024
Burkina Faso,1960,1962,1960,,1997,1969,1962,1999,2001,,2016
Burundi,1993,1997,1963,,1963,1993,1993,2000,2002,,
Cabo Verde,1999,1979,1979,,1979,1979,1979,2011,2001,2000,
Cambodia,1999,1999,1969,,1999,1999,1999,1999,2006,,
Cameroon,1960,1962,1960,,1962,1970,1988,2001,2002,2021,
Canada,1972,2017,2011,2019,1959,1972,1964,2016,2000,,2011
Central African Republic,1960,1964,1960,,1964,1964,1964,2000,2000,2006,
Chad,1960,1961,1960,,1961,1966,1966,2005,2000,,
Chile,1999,1999,1933,2021,1999,1971,1971,1999,2000,2025,2011
China,,,2022,,2022,1990,2006,1999,2002,2007,
Colombia,1976,1976,1969,,1963,1963,1969,2001,2005,,
Comoros,1978,1978,1978,2021,1978,1978,2004,2004,2004,,
Congo,1960,1999,1960,,1999,1999,1999,1999,2002,2023,
Cook Islands,,,2015,,2015,,,,2018,,
Costa Rica,1960,1960,1960,2020,1959,1960,1962,1976,2001,,
Côte d'Ivoire,1960,1961,1960,2019,1961,1961,1961,2003,2003,2016,2016
Croatia,1991,1991,1991,,1997,1991,1991,1991,2001,1991,
Cuba,1952,1952,1953,,1958,1954,1965,1975,2015,1982,2008
Cyprus,1966,1966,1960,2017,1960,1987,1968,1997,2000,1989,2009
Czechia,1993,1993,1993,2016,1996,1993,1993,2007,2001,1993,2008
Democratic Republic of the Congo,2001,1969,1960,,2001,1969,2001,2001,2001,,
Denmark,1951,1955,1932,2017,1958,1960,1960,1997,2000,1995,2009
Djibouti,1978,1978,1978,2018,1978,1978,2005,2005,2005,,
Dominica,1983,1983,1983,,1983,1983,1983,1983,2001,,
Dominican Republic,1956,1953,1956,,1958,1953,1964,1999,2000,,2015
Ecuador,1967,1959,1954,,1962,1957,1962,2000,2000,,
Egypt,1957,1954,1955,,1958,1960,1960,1999,2002,,
El Salvador,2006,2006,1995,,1958,2000,1995,1996,2000,2000,
Equatorial Guinea,2001,2001,2001,,2001,1985,2001,1985,2001,,
Eritrea,2000,2000,2000,,2000,2000,2000,2000,2019,,
Estonia,1994,1994,1996,2016,1996,1996,2005,2007,2001,,
Eswatini,1978,1978,1978,,1979,1981,1981,2002,2002,,
Ethiopia,1963,1963,2003,,1999,1999,1966,1999,2003,1991,
Fiji,2002,1974,1974,,1974,2002,2002,2003,2002,2008,
Finland,1950,1951,1936,2017,1960,1963,1970,1976,2000,1985,2008
France,1951,1951,1937,2016,1969,1953,1981,1990,2001,2026,2014
Gabon,1960,1961,1960,,1961,1961,1961,2010,2001,2015,
Gambia,2000,2000,2000,,2000,2000,2000,2000,2001,,
Georgia,1999,1993,1993,,1996,1993,1993,1996,2002,,
Germany,1957,1956,1956,2019,1959,1956,1961,1976,2002,2026,2010
Ghana,1965,1959,1957,,1958,1968,1961,2011,2000,,
Greece,1962,1962,1952,2026,1962,1975,1984,1986,2001,2026,2021
Grenada,1994,1979,1979,,1979,1994,2003,2003,2003,2012,
Guatemala,1952,1952,1989,,1959,1961,1960,1990,2001,,
Guinea,1959,1959,1959,,1961,1967,1960,2003,2003,,2017
Guinea-Bissau,2023,1977,1977,,1977,1977,1977,2009,2008,,
Guyana,1967,1966,1966,,1966,1975,1975,1998,2001,2012,
Haiti,1979,1957,1958,,1958,1958,1976,2009,2007,,
Honduras,1956,1956,1957,,1958,1956,1960,1980,2001,,
Hungary,1957,1957,1956,,1994,1956,1961,1998,2000,1994,
Iceland,1950,1952,1958,2017,1960,1958,1963,1999,2000,1991,2018
India,,,1954,,2000,1958,1960,2017,2017,,
Indonesia,1998,1957,1950,,1999,1958,1999,1999,2000,,2015
Iran (Islamic Republic of),,,1957,,1959,1972,1964,,2002,2023,
Iraq,2018,1962,1962,,1959,1963,1959,1985,2001,,2015
Ireland,1955,1955,1931,2019,1958,1974,1999,1978,1999,1995,
Israel,1957,1957,1955,2018,1958,1965,1959,1979,2005,,
Italy,1958,1958,1934,2026,1968,1956,1963,1981,2000,2023,2023
Jamaica,1962,1962,1962,2017,1962,1975,1975,2003,2003,,
Japan,1965,1953,1932,,2022,1967,,2000,2001,2026,2007
Jordan,,1968,1966,,1958,1966,1963,1998,2000,,
Kazakhstan,2000,2001,2001,,2001,2001,1999,2001,2003,1996,2015
Kenya,,1964,1964,,1964,2001,2001,1979,2001,,
Kiribati,2000,2000,2000,,2000,2009,2009,2009,2009,,
Kuwait,1961,2007,1968,,1961,,1966,1999,2000,,
Kyrgyzstan,1992,1992,1992,2020,1999,1992,1992,1992,2004,,
Lao People's Democratic Republic,,,1964,,,2008,2008,2005,2005,2022,2022
Latvia,1992,1992,2006,2017,1992,1992,1992,2006,2006,1994,
Lebanon,,1977,1977,,1977,1977,1977,2003,2001,,
Lesotho,1966,1966,1966,2019,2001,1998,1998,2001,2001,2001,2023
Liberia,1962,1962,1931,,1962,2022,1959,2022,2003,,
Libya,2000,1962,1961,,1961,1962,1961,1975,2000,,
Lithuania,1994,1994,1994,2020,1994,1994,1994,1998,2003,,
Luxembourg,1958,1958,1964,2021,1964,1967,2001,1977,2001,2001,2021
Madagascar,1960,1998,1960,2019,2007,1962,1961,2000,2001,2023,2023
Malawi,1999,1965,1999,2019,1999,1965,1965,1999,1999,2019,2019
Malaysia,,1961,1957,2022,1958den.:1990,1997,,1997,2000,2024,2012
Maldives,2013,2013,2013,,2013,2013,2013,2013,2013,,
Mali,1960,1964,1960,2016,1962,1968,1964,2002,2000,2016,
Malta,1965,1965,1965,2019,1965,1988,1968,1988,2001,,
Marshall Islands,,,,,,,,,2019,,
